index,name,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,,
0,giant ant,S_ANT,2,18,3,0,0,G_GENO | G_SGROUP | 3,"ATTK(AT_BITE, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_TINY,,,M1_ANIMAL | M1_NOHANDS | M1_OVIPAROUS | M1_CARNIVORE,M2_HOSTILE,,CLR_BROWN,ants,,
1,killer bee,S_ANT,1,18,-1,0,0,G_GENO | G_LGROUP | 2,"ATTK(AT_STNG, AD_DRST, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_ANIMAL | M1_FLY | M1_NOHANDS | M1_POIS,M2_HOSTILE | M2_FEMALE,,CLR_YELLOW,ants,,
2,soldier ant,S_ANT,3,18,3,0,0,G_GENO | G_SGROUP | 2,"ATTK(AT_BITE, AD_PHYS, 2, 4)","ATTK(AT_STNG, AD_DRST, 3, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,5,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_ANIMAL | M1_NOHANDS | M1_OVIPAROUS | M1_POIS | M1_CARNIVORE,M2_HOSTILE,,CLR_BLUE,ants,,
3,fire ant,S_ANT,3,18,3,10,0,G_GENO | G_SGROUP | 1,"ATTK(AT_BITE, AD_PHYS, 2, 4)","ATTK(AT_BITE, AD_FIRE, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_FIRE,MR_FIRE,M1_ANIMAL | M1_NOHANDS | M1_OVIPAROUS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_RED,ants,,
4,giant beetle,S_ANT,5,6,4,0,0,G_GENO | 3,"ATTK(AT_BITE, AD_PHYS, 3, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_ANIMAL | M1_NOHANDS | M1_POIS | M1_CARNIVORE,M2_HOSTILE,,CLR_BLACK,ants,,
5,queen bee,S_ANT,9,24,-4,0,0,G_GENO | G_NOGEN,"ATTK(AT_STNG, AD_DRST, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_ANIMAL | M1_FLY | M1_NOHANDS | M1_OVIPAROUS | M1_POIS,M2_HOSTILE | M2_FEMALE | M2_PRINCE,,HI_LORD,ants,,
6,acid blob,S_BLOB,1,3,8,0,0,G_GENO | 2,"ATTK(AT_NONE, AD_ACID, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_SLEEP | MR_POISON | MR_ACID | MR_STONE,MR_STONE,M1_BREATHLESS | M1_AMORPHOUS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_ACID,M2_WANDER | M2_NEUTER,,CLR_GREEN,blobs,,
7,quivering blob,S_BLOB,5,1,8,0,0,G_GENO | 2,"ATTK(AT_TUCH, AD_PHYS, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_SMALL,MR_SLEEP | MR_POISON,MR_POISON,M1_NOEYES | M1_NOLIMBS | M1_NOHEAD | M1_MINDLESS,M2_WANDER | M2_HOSTILE | M2_NEUTER,,CLR_WHITE,blobs,,
8,gelatinous cube,S_BLOB,6,6,8,0,0,G_GENO | 2,"ATTK(AT_TUCH, AD_PLYS, 2, 4)","ATTK(AT_NONE, AD_PLYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,150,MS_SILENT,MZ_LARGE,MR_FIRE | MR_COLD | MR_ELEC | MR_SLEEP | MR_POISON | MR_ACID| MR_STONE,MR_FIRE | MR_COLD | MR_ELEC | MR_SLEEP,M1_NOEYES | M1_NOLIMBS | M1_NOHEAD | M1_MINDLESS | M1_OMNIVORE| M1_ACID,M2_WANDER | M2_HOSTILE | M2_NEUTER,,CLR_CYAN,blobs,,
9,chickatrice,S_COCKATRICE,4,4,8,30,0,G_GENO | G_SGROUP | 1,"ATTK(AT_BITE, AD_PHYS, 1, 2)","ATTK(AT_TUCH, AD_STON, 0, 0)","ATTK(AT_NONE, AD_STON, 0, 0)",NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_HISS,MZ_TINY,MR_POISON | MR_STONE,MR_POISON | MR_STONE,M1_ANIMAL | M1_NOHANDS | M1_OMNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,cockatrice,,
10,cockatrice,S_COCKATRICE,5,6,6,30,0,G_GENO | 5,"ATTK(AT_BITE, AD_PHYS, 1, 3)","ATTK(AT_TUCH, AD_STON, 0, 0)","ATTK(AT_NONE, AD_STON, 0, 0)",NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_POISON | MR_STONE,MR_POISON | MR_STONE,M1_ANIMAL | M1_NOHANDS | M1_OMNIVORE | M1_OVIPAROUS,M2_HOSTILE,M3_INFRAVISIBLE,CLR_YELLOW,cockatrice,,
11,pyrolisk,S_COCKATRICE,6,6,6,30,0,G_GENO | 1,"ATTK(AT_GAZE, AD_FIRE, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_POISON | MR_FIRE,MR_POISON | MR_FIRE,M1_ANIMAL | M1_NOHANDS | M1_OMNIVORE | M1_OVIPAROUS,M2_HOSTILE,M3_INFRAVISIBLE,CLR_RED,cockatrice,,
12,jackal,S_DOG,0,12,7,0,0,G_GENO | G_SGROUP | 3,"ATTK(AT_BITE, AD_PHYS, 1, 2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,dogs & other canines,,
13,fox,S_DOG,0,15,7,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_RED,dogs & other canines,,
